DESTINATION,Place of Interest
Agra,Taj Mahal
Agra,Agra Fort
Agra,Mehtab Bagh
Ahmedabad,Sabarmati Ashram
Ahmedabad,Kankaria Lake
Ahmedabad,Adalaj Stepwell
Alleppey,Alleppey Backwaters
Alleppey,Alappuzha Beach
Alleppey,Krishnapuram Palace
Amritsar,Golden Temple
Amritsar,Jallianwala Bagh
Amritsar,Wagah Border
Bangalore,Lalbagh Botanical Garden
Bangalore,Bangalore Palace
Bangalore,Cubbon Park
Bhopal,Upper Lake
Bhopal,Bharat Bhavan
Bhopal,Taj-ul-Masajid
Bhubaneswar,Lingaraj Temple
Bhubaneswar,Udayagiri and Khandagiri Caves
Bhubaneswar,Nandankanan Zoo
Chandigarh,Rock Garden
Chandigarh,Sukhna Lake
Chandigarh,Rose Garden
Chennai,Marina Beach
Chennai,Fort St. George
Chennai,Kapaleeshwarar Temple
Coimbatore,Marudamalai Temple
Coimbatore,Isha Yoga Center
Coimbatore,VOC Park
Darjeeling,Tiger Hill
Darjeeling,Batasia Loop
Darjeeling,Darjeeling Himalayan Railway
Dehradun,Robber's Cave
Dehradun,Sahastradhara
Dehradun,Tapkeshwar Temple
Delhi,Red Fort
Delhi,India Gate
Delhi,Qutub Minar
Gangtok,MG Road
Gangtok,Tsomgo Lake
Gangtok,Rumtek Monastery
Goa,Baga Beach
Goa,Fort Aguada
Goa,Basilica of Bom Jesus
Guwahati,Kamakhya Temple
Guwahati,Umananda Temple
Guwahati,Assam State Museum
Hampi,Virupaksha Temple
Hampi,Vittala Temple
Hampi,Hampi Bazaar
Haridwar,Har Ki Pauri
Haridwar,Chandi Devi Temple
Haridwar,Mansa Devi Temple
Hyderabad,Charminar
Hyderabad,Golconda Fort
Hyderabad,Ramoji Film City
Indore,Rajwada Palace
Indore,Lal Bagh Palace
Indore,Sarafa Bazaar
Jaipur,Hawa Mahal
Jaipur,Amber Fort
Jaipur,City Palace
Jaisalmer,Jaisalmer Fort
Jaisalmer,Patwon Ki Haveli
Jaisalmer,Sam Sand Dunes
Kochi,Fort Kochi
Kochi,Jew Town
Kochi,Mattancherry Palace
Kodaikanal,Kodai Lake
Kodaikanal,Coaker's Walk
Kodaikanal,Bryant Park
Kolkata,Victoria Memorial
Kolkata,Howrah Bridge
Kolkata,Dakshineswar Temple
Leh,Pangong Lake
Leh,Shanti Stupa
Leh,Leh Palace
Lucknow,Bara Imambara
Lucknow,Rumi Darwaza
Lucknow,Ambedkar Memorial Park
Mahabalipuram,Shore Temple
Mahabalipuram,Pancha Rathas
Mahabalipuram,Arjuna's Penance
Manali,Hadimba Temple
Manali,Solang Valley
Manali,Rohtang Pass
Mount Abu,Dilwara Temples
Mount Abu,Nakki Lake
Mount Abu,Guru Shikhar
Mumbai,Gateway of India
Mumbai,Marine Drive
Mumbai,Elephanta Caves
Munnar,Tea Gardens
Munnar,Mattupetty Dam
Munnar,Eravikulam National Park
Mysore,Mysore Palace
Mysore,Chamundi Hill
Mysore,Brindavan Gardens
Nashik,Sula Vineyards
Nashik,Trimbakeshwar Temple
Nashik,Panchavati
Ooty,Ooty Lake
Ooty,Botanical Gardens
Ooty,Doddabetta Peak
Pondicherry,Promenade Beach
Pondicherry,Auroville
Pondicherry,French Colony
Pune,Shaniwar Wada
Pune,Aga Khan Palace
Pune,Sinhagad Fort
Puri,Jagannath Temple
Puri,Puri Beach
Puri,Chilika Lake
Rishikesh,Laxman Jhula
Rishikesh,Triveni Ghat
Rishikesh,Neelkanth Mahadev Temple
Shillong,Elephant Falls
Shillong,Umiam Lake
Shillong,Shillong Peak
Shimla,The Ridge
Shimla,Mall Road
Shimla,Jakhoo Temple
Srinagar,Dal Lake
Srinagar,Mughal Gardens
Srinagar,Shankaracharya Temple
Surat,Dumas Beach
Surat,Sarthana Nature Park
Surat,Dutch Garden
Thiruvananthapuram,Padmanabhaswamy Temple
Thiruvananthapuram,Kovalam Beach
Thiruvananthapuram,Napier Museum
Udaipur,City Palace
Udaipur,Lake Pichola
Udaipur,Jag Mandir
Varanasi,Kashi Vishwanath Temple
Varanasi,Dashashwamedh Ghat
Varanasi,Sarnath
Vijayawada,Kanaka Durga Temple
Vijayawada,Prakasam Barrage
Vijayawada,Undavalli Caves
